Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
4.60634598,0.5448402261843799,0.23165692763262857,-1.5595497496388817,
4.616424835,0.8878974514095401,0.23129417003579,-2.527101088163254,
4.626364836,1.254280594737404,0.4110481381526556,-2.1480949788069705,
4.636428379,1.7159389120348878,1.0758294773189991,-0.5960739826183303,
4.646681869,0.8556035520739228,2.435090614325903,0.5880816479507458,
4.656586089,0.7994045195167757,3.078135357671659,0.6620014588024912,
4.666852444,0.5437555513529378,3.033286179203735,0.40318734486792085,
4.676905622,0.11322372966992045,2.809700842777051,0.28041187159135816,
4.686964738,0.40086752624501537,1.9911025016142183,0.6572012204481354,
4.69705651,-0.1313312673474173,1.2327944158421555,-0.7115624985255247,
4.707003281,-0.3272469062729534,0.3388432597245057,-1.3851939075118258,
4.717061564,-0.3422427192627475,-0.4835777970055517,-2.165434712801453,
4.727153492,0.32762929079539893,-0.6703354431708473,-2.218849463966748,
4.737216357,1.1738154473114595,0.3256441820844156,-2.23476623194,
4.747483754,2.306620373901414,1.1224278822886262,-1.4353864566213357,
4.757560734,2.8949142571899786,1.100970412520354,0.2345815359968766,
4.767611152,0.7529965302637018,0.5130273065787829,2.064719443275041,
4.77771282,-1.305302623010413,-0.5204443961920511,2.5443339385616834,
4.787772144,-1.94446194418012,-1.2208072686626252,2.901210501832013,
4.797866311,-2.145500852646342,-0.8387391682015846,2.6542412877418555,
4.808017146,-2.118626557971566,0.1487832931242803,2.671186370876468,
4.818032876,-1.7485313122952217,1.0613842699974718,1.7730304107880888,
4.828186419,-1.4945932154245565,1.7148506716132115,0.47989729291727523,
4.838169492,-0.9543390849739226,1.3872034132671303,0.5294852872413824,
4.848249493,-0.7213331683087278,0.661567845359798,1.1897327796397552,
4.858318713,-0.5425900636997167,-0.06450716780395815,1.5302253640316283,
4.868431527,-0.449394926936336,-0.47298558653808875,2.2048452120321875,
4.87833184,-0.29439371864867825,-0.3668963122480484,1.0130545792021661,
4.888562258,0.21267962423266873,-0.4429150905699224,-0.5571243288486554,
4.898499915,0.6604762074732933,-0.9672478744578914,-2.173355374524542,
4.908727937,0.7658857343502166,-1.953660512701079,-3.1598823815898487,
4.918801219,1.5742199967628576,-2.612546940434301,-2.719442045713774,
4.928974397,2.286009653435219,-2.5535549321081845,-1.8959109592638903,
4.938995284,2.453215490997687,-2.418254788582056,-0.8425216522377725,
4.948898826,2.3073374837405325,-2.2295691934144717,-0.49014261933660475,
