Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
2.922994614,-0.3546983135270516,-0.27666387133404235,1.2646139282391513,
2.933122115,-0.3833574400367292,-0.244315411032078,1.4024248614633914,
2.943153626,-0.4560841835357312,-0.3525125705248815,1.5050121700545023,
2.953353211,-0.5066041403466515,-0.34330156032615555,1.3802230005089342,
2.963308472,-0.5431891960663837,-0.03330518869061194,1.1999463752606632,
2.973516338,-0.6260874972950017,0.36408918644985455,0.9637878192026714,
2.983661755,-0.6119610394009429,0.6896668874899614,0.6790929995027621,
2.993688006,-0.5853368063742703,0.758592335675564,0.3900454491017218,
3.003625768,-0.4721001640935567,0.5111058936869366,0.1664688467691704,
3.013812175,-0.3355422223392983,0.12924146543783088,-0.06985322000898009,
3.023908634,0.011208899435690256,-0.34863166895832975,-0.28955662538462557,
3.033859469,0.3805472434499193,-0.8113760382916642,-0.42318144074959463,
3.043946918,0.7641245508939689,-1.0589877630063782,-0.6603259295772146,
3.054042127,0.8296508141160541,-1.1459870548875237,-0.8002419829806193,
3.064192701,0.8897333103657192,-1.2155857254529874,-1.007942991291722,
3.074284889,0.8803384270859105,-1.0260986462803583,-0.9365989342015908,
3.084348276,0.8421767685089383,-0.9319701493240924,-0.8527086555705012,
3.094347964,0.8039859798172213,-0.860497689283493,-0.8622109079158737,
3.104534267,0.7274646970923024,-0.8492883491807,-0.7587217159109461,
3.114541925,0.6356018712755266,-0.867136291527177,-0.6606074863304414,
3.124576665,0.47017427131622813,-0.839276354999086,-0.6817148918811258,
3.134669583,0.3378321913487894,-0.7786815973049332,-0.5645255323174616,
3.144741563,0.10937538843211991,-0.7148825337033218,-0.5512192150690572,
3.154829481,0.06068525394485369,-0.6485204068454706,-0.4179910342485442,
3.164887763,-0.08552710469018643,-0.5111548874880949,-0.37653078401809814,
3.174993754,-0.10672887369355544,-0.38977031501977244,-0.31654751511197,
3.185051098,-0.1543361362168072,-0.2160482771623018,-0.1881157295845406,
3.195145006,-0.11197675199102386,0.01103627145863495,-0.06621669427096499,
3.205210059,-0.08958140159281913,0.20802640486222046,0.12323988520670215,
3.215302716,-0.10997231121566153,0.38477248802551856,0.3399274432148002,
3.225416884,-0.011363421406000995,0.5185075350981485,0.5056160516329974,
3.235466312,-0.06272085072648537,0.7825554329857454,0.668812738004396,
3.245529906,-0.05400739957532885,1.0512549176776593,0.8453387150312024,
3.255606522,-0.02405232468955998,1.2432294285268934,0.9903903110142198,
3.265698763,0.08035692946343997,1.3853176431633116,1.0604627691360828,
3.275779805,0.17920725644611812,1.3802351631146337,1.1701509922864055,
3.285846577,0.3808706092912634,1.3378619891342858,1.1199953055478744,
3.295954026,0.4924018969598357,1.2771491799304755,0.9304729061204284,
3.306015277,0.558642601208921,1.366484053417036,0.7137323822083546,
3.316083559,0.5848200839654888,1.6179965078703482,0.4982022448780117,
3.326161269,0.5061632809556552,1.89199013232167,0.22234853143707722,
3.336248457,0.17891800145443507,2.0843692359842887,0.03231131263745457,
3.346317729,-0.1863077541976275,2.1654896209651664,-0.20782499926747766,
3.35639898,-0.4631654469799282,2.035018497309242,-0.4497333957152514,
3.366493252,-0.5927142976626779,1.9804417082477848,-0.6394294892467616,
3.376559399,-0.6733690165603181,1.7758893163052587,-0.7835249260836887,
3.386639504,-0.5731716841955201,1.4283728910324882,-0.8336789572854082,
3.396717682,-0.5274903846183789,1.023946024007632,-0.9274322958484682,
3.40680737,-0.4679609356243908,0.619959431510793,-0.8913440205014065,
3.416871017,-0.4433217857614755,0.08607984989613549,-0.7743668156748069,
3.42695357,-0.4542562178242684,-0.24908579659676278,-0.5352175393013201,
3.437035342,-0.4361887305155183,-0.8198458772676442,-0.12554694480165174,
3.447126124,-0.5558100008308717,-1.5867421803297397,0.056622113653307604,
3.457211334,-0.6246918887567383,-2.073845495972776,0.04146697192850546,
3.467270554,-0.7525813460883986,-2.4252209585458004,-0.058763773684002096,
3.477352221,-0.7936012173126135,-2.5722461638092966,-0.16576340313299265,
3.487455035,-0.8340785522802667,-2.536637568254468,-0.2628553590420386,
3.497510192,-0.7362157837187446,-2.3319368551406843,-0.17963848759679002,
3.507590141,-0.6119569409398395,-2.011117187359618,-0.059434924522622445,
3.517669152,-0.5048884287284343,-1.651031658823241,0.05205084959699002,
3.52777832,-0.4192336189593098,-1.2557031041582025,0.11442443593369545,
3.537826029,-0.4043400277968425,-0.8130261521498046,0.21412265192688795,
3.54790103,-0.3809328071495832,-0.4780385669835159,0.2938813200888737,
3.557989208,-0.41200656829046745,-0.24835568879189118,0.28107368400078636,
3.568063845,-0.4483575434507334,-0.05311646631671607,0.19421319524750413,
3.578158794,-0.45062348135482466,0.19118068558920598,0.16303199418628456,
3.588225722,-0.333683561390012,0.4134334400729269,0.09594902903433056,
3.598299629,-0.1443638412995094,0.560589891706778,-0.041993160958326614,
3.608395203,0.3097191167797284,0.5480713701525328,-0.2864221731148058,
3.618458485,0.7610922108432163,0.3197040443642134,-0.4589811165588613,
3.628552184,0.9268237312905399,0.14467238466129295,-0.612351171132526,
3.638636404,1.017271038712852,-0.15624314085495072,-0.754200797841232,
3.648796613,1.0091836904063167,-0.4314520322152102,-0.8485268923165648,
3.658896458,0.9758987788021041,-0.6937578171784189,-0.8205582477666735,
3.668868126,0.903302126221615,-0.8116644263501573,-0.7981833202058315,
3.678935991,0.8375633661689426,-0.8638521862217274,-0.7036689744324875,
3.689018336,0.7504958871795389,-0.844310508743007,-0.6472110451007996,
3.699215681,0.6425346663628939,-0.7444017303586632,-0.5637375116940431,
3.709370317,0.4680590574769119,-0.641490012216618,-0.5850653172013038,
3.719344589,0.3706165269873889,-0.5514991997147014,-0.4910366154096027,
3.729382142,0.22370946533380753,-0.4909987066955894,-0.2970612221067349,
